"","match_string","COU","Energy.Consumption","CO","NMVOC","NOX","PM10","PM2-5","SOX","TotPop","GDPperCAP","s","A.CO","A.NOX","A.NMVOC","A.PM10","A.PM2.5","A.SOX","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive"
"21","AUS2010","AUS",5.65081836182721,95.917,16.656,755.24,NA,NA,610.08,22031.8,44478.987373,0.256484643189717,373.967808782422,2944.58175198178,64.93956048542,NA,NA,2378.62194169939,4,4,0,0,0,0,1,0,0,3,0,0,0,8,0,0,2,0,0,0,0,4,0,0
"22","AUS2011","AUS",5.73630747479,82.91,7.779,585.13,NA,NA,587.026,22340,45583.725649,0.256772939784691,322.892280119243,2278.78373979222,30.2952484265781,NA,NA,2286.1676954442,7,5,0,0,2,0,1,0,0,3,0,1,0,12,0,0,2,0,0,2,0,8,0,0
"23","AUS2012","AUS",5.80436062463734,91.471,9.105,610.577,NA,NA,582.15,22733.5,45959.462467,0.2553219092809,358.257543418906,2391.4007290626,35.6608644579062,NA,NA,2280.06284944208,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"24","AUS2013","AUS",5.80195743857084,87.178,8.507,579.245,NA,NA,554.943,23128.1,46333.137914,0.250861827758045,347.514011115644,2309.02008957169,33.9110978981025,NA,NA,2212.14604453588,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"25","AUS2014","AUS",5.75065265195461,100.884,10.129,587.696,NA,NA,540.101,23475.7,46638.640722,0.244961924541318,411.8354319305,2399.13203286772,41.3492832364303,NA,NA,2204.83653127448,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"26","AUS2015","AUS",5.77777714890184,119.486,12.118,633.661,NA,NA,542.8,23816,47232.629115,0.242600652876295,492.52134560795,2611.95092629496,49.9504014367971,NA,NA,2237.42184352975,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"27","AUS2016","AUS",6.00931168319487,132.554,14.243,684.819,NA,NA,529.733,24190.9,47568.259139,0.24841207574728,533.605299183816,2756.7862711179,57.3361820561816,NA,NA,2132.47684681368,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"28","AUS2017","AUS",6.20020112144761,128.475,13.512,674.787,NA,NA,525.305,24601.9,48116.439218,0.252021230939383,509.778479857124,2677.50061169371,53.6145306077405,NA,NA,2084.36804328738,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"29","AUS2018","AUS",6.16121186744288,100.06,13.475,680.25,NA,NA,525.873,24982.7,48384.296173,0.246619135139232,405.726830335002,2758.30178228448,54.6389070434155,NA,NA,2132.32845741314,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"30","AUS2019","AUS",6.12327274232119,134.301,12.612,663.217,NA,NA,453.889,25365.7,47651.907142,0.241399714666703,556.342828264844,2747.38104357619,52.2452978762349,NA,NA,1880.23834504808,9,5,0,0,2,0,1,0,0,3,0,1,0,14,0,2,2,2,0,2,0,8,2,0
"31","AUT1990","AUT",1.1583630812139,1.359,0.311,12.092,0.783,0.659,11.81,7677.85,35361.51657,0.150870762155278,9.00770951631637,80.1480673077981,2.06136693125415,5.18987237032798,4.36797687362214,78.2789178717412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","AUT1991","AUT",1.21926831645165,1.646,0.361,11.399,NA,NA,13.321,7754.891,36215.138678,0.157225719413935,10.4690250814913,72.5008608164759,2.29606200146923,NA,NA,84.72532388247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","AUT1992","AUT",1.19405482194438,1.326,0.257,8.868,NA,NA,5.757,7840.709,36568.631867,0.152289138896034,8.70712126690301,58.2313358935867,1.68757931040277,NA,NA,37.8030898443142,3,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,2,0,1,0,0,0,0,0
