Egypt,Egypt,EGY,66.25,74.23,69.85,69.68,78.49,69.74,69.65,74.71,72.01,73.11,66.71,66.95,68.49,67.92
El Salvador,El+Salvador,SLV,30.25,28.99,30.2,24.88,24.31,28.71,25.46,26.97,24.49,25.61,23.55,23.15,22.78,22.35
Eritrea,Eritrea,ERI,44.64,41.17,45.06,42.51,43.62,43.96,45.16,45.49,39.92,43.65,41.97,44.35,44.14,44.78
Estonia,Estonia,EST,8.03,7.53,8.5,8.38,8.65,7.79,7.52,7.59,8.18,6.62,6.57,5.73,6.04,5.95
Eswatini,Eswatini,SWZ,25.32,25.46,24.84,23.13,23.9,23.11,23.45,23.39,23.13,23.48,22.11,23.44,23.21,23.37
Ethiopia,Ethiopia,ETH,29.64,27,30.88,31.51,34.01,34.92,35.58,35.38,33.02,34.45,33.66,33.97,33.9,33.83
Fiji,Fiji,FJI,8.07,8.14,10.87,10.96,10.83,10.88,10.89,11.02,10.63,10.5,10.96,10.94,10.85,10.86
Finland,Finland,FIN,8.81,8.08,7.65,7.21,7.35,7.17,6.48,6.1,6.49,5.72,5.68,5.33,5.68,5.64
France,France,FRA,18.15,16.88,15.94,14.77,14.86,14.78,13.53,13.45,11.51,12.23,11.44,11.39,11.49,11.37
Gabon,Gabon,GAB,36.5,34.93,37.85,35.15,36.04,36.74,35.48,37.69,34.52,40.57,39.69,35.77,37.55,37.44
Georgia,Georgia,GEO,18.57,18.79,17.74,16.84,18.54,20.59,20.89,20.26,19.99,19.02,18.2,18.5,18.24,18.25
Germany,Germany,DEU,20.77,18.87,16.61,15.24,16.25,15.74,13.95,13.72,12.37,12.86,11.9,12.01,12.05,11.93
Ghana,Ghana,GHA,58.94,49.61,60.91,53.33,50.7,54.18,55.12,48.31,47.45,61.12,60.31,56.46,54.72,54.48
Greece,Greece,GRC,19.61,19.26,20.78,19.24,19.15,19.81,17.44,16.77,15.8,16.15,14.54,14.51,14.59,14.32
Guatemala,Guatemala,GTM,40.82,38.69,36.09,29.36,28.98,32.65,30.45,32.36,29.59,31.11,29.32,27.99,28.19,27.81
