"","match_string","Passenger.Kilometers","COU","Country","YEA","CO","NMVOC","NOX","PM10","PM2-5","SOX","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive","GDPperCAP","TotPop","ROADpGDP","PKperCap","A.CO","A.NOX","A.NMVOC","A.PM10","A.PM2.5","A.SOX","gas.price.usd.per.liter","Total.Rail.Transport","RAILperCAP"
"14","AUS2013",290398.01235836,"AUS","Australia",2013,1007.118,187.449,187.385,NA,NA,16.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46333.137914,23128.1,1.13968787871292,12.5560686938555,80.2096599306474,14.9238590970516,14.9289562338673,NA,NA,1.3082916636191,1.31,15543.667841316,0.672068515845054
"15","AUS2014",294665.06203046,"AUS","Australia",2014,971.035,189.425,190.77,NA,NA,17.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46638.640722,23475.7,0.961181768762108,12.5519180271711,77.3614835515979,15.198474017042,15.0913190788812,NA,NA,1.36417398224988,1.23,15571.083308422,0.663285154795043
"16","AUS2015",300052.75152381,"AUS","Australia",2015,926.197,192.099,187.874,NA,NA,17.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47232.629115,23816,0.951264995776882,12.5987886934754,73.5147657869407,14.9120684988784,15.2474181981863,NA,NA,1.35251097661671,1.08,16016.860652115,0.672525220528846
"17","AUS2016",307191.95805714,"AUS","Australia",2016,866.916,191.753,184.648,NA,NA,16.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47568.259139,24190.9,1.06457933191129,12.6986576794224,68.2683179502347,14.5407494761603,15.1002574319904,NA,NA,1.33289678541597,0.93,16503.758569102,0.68223003563745
"18","AUS2017",312474.52483468,"AUS","Australia",2017,811.394,192.759,178.285,NA,NA,16.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48116.439218,24601.9,1.14335161318559,12.7012354669631,63.8830767377313,14.0368234620744,15.1763976426845,NA,NA,1.3160924418321,0.93,17039.193726877,0.692596658261232
"19","BEL2000",119400,"BEL","Belgium",2000,313.013,47.478,160.153,11.269,10.01,3.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40193.01395,10251,0.0529920178993763,11.6476441322798,26.873503040201,13.749819120603,4.07618909547739,0.967491783919598,0.859401256281407,0.292076231155779,0.96,7755,0.75651155984782
"20","BEL2001",121470,"BEL","Belgium",2001,286.236,42.707,158.246,11.021,9.728,3.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40492.779236,10287,0.0501064928538164,11.8081073199183,24.2406333415658,13.4014703383551,3.61675235860706,0.933341788095826,0.823840750802667,0.268120869350457,1,8036,0.781180130261495
"21","BEL2002",123960,"BEL","Belgium",2002,251.361,37.398,155.106,10.269,8.953,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41000.60331,10333,0.0597691529063463,11.9965160166457,20.9528332768635,12.9292537754114,3.11740508228461,0.855998523717328,0.746300008067118,0.059517279767667,1.04,8260,0.799380625181457
"22","BEL2003",124730,"BEL","Belgium",2003,235.261,34.811,153.139,9.974,8.628,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41254.504915,10376,0.0624662420785595,12.0210100231303,19.5708180549988,12.7392789545418,2.89584651647559,0.829713974184238,0.717743349635212,0.0525746171730939,1.27,8265,0.796549730146492
"23","BEL2004",126800,"BEL","Belgium",2004,207.308,29.946,155.528,10.203,8.802,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42543.280299,10421,0.0507026641073673,12.1677382209001,17.0375131545741,12.7819975394322,2.46109831230284,0.838528888012618,0.72338834384858,0.0488998028391167,1.5,8676,0.832549659341714
"24","BEL2005",126960,"BEL","Belgium",2005,173.329,25.242,146.989,9.406,8.045,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43290.084455,10479,0.0477410546616498,12.115659891211,14.3061955812854,12.1321497400756,2.0834193289225,0.77635061436673,0.66401665879017,0.0363166351606805,1.565,9150,0.873174921271114
"25","BEL2006",127990,"BEL","Belgium",2006,152.835,22.198,145.748,9.349,7.957,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44104.587979,10548,0.048581305302385,12.1340538490709,12.5955432455661,12.0114845222283,1.82939685912962,0.770476224705055,0.655757762325182,0.0283499648410032,1.63,9607,0.910788775123246
"26","BEL2007",130810,"BEL","Belgium",2007,135.306,19.408,141.921,9.155,7.725,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45390.608319,10626,0.0432915944734941,12.3103707886317,10.991220518309,11.5285723262747,1.57655689931962,0.74368190505313,0.62751968503937,0.0114537573580002,1.565,9932,0.934688499905891
"27","BEL2008",130620,"BEL","Belgium",2008,119.661,16.866,131.569,8.791,7.36,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45235.876097,10710,0.0407849629354434,12.1960784313725,9.81143247588425,10.7878118971061,1.38290353697749,0.720805466237942,0.603472668810289,0.0109871382636656,1.5,10406,0.971615312791783
"28","BEL2009",131060,"BEL","Belgium",2009,104.772,15.413,121.757,8.301,6.888,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43968.711838,10796,0.0473979861898304,12.139681363468,8.63053953914238,10.029670166336,1.26963793682283,0.683790599725317,0.56739545246452,0.00963781474133985,1.685,10427,0.965820674323824
"29","BEL2010",126773,"BEL","Belgium",2010,95.035,13.722,117.265,8.003,6.589,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44813.015419,10896,0.0943243781159582,11.6348201174743,8.1681537866896,10.0787978512775,1.17939081665654,0.687849053031797,0.566317307313072,0.00997007249177664,1.87,10403,0.954754038179148
"30","BEL2011",127640,"BEL","Belgium",2011,80.944,12.019,109.882,7.243,5.845,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44986.105454,11038,0.0646660111856662,11.5636890741076,6.999842306487,9.50233089940458,1.03937419304293,0.626357207771858,0.505461532434973,0.00959901284863679,1.98,11003,0.996829135712991
"31","BEL2012",128046,"BEL","Belgium",2012,74.321,10.668,103.579,6.603,5.245,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45037.117584,11107,0.138183058622545,11.5284055100387,6.44677183980757,8.98467701451041,0.925366477672086,0.572759172484888,0.454963177295659,0.00936816456585914,2.09,10857,0.97749167191861
"32","BEL2013",121530,"BEL","Belgium",2013,68.475,9.671,98.363,6.063,4.727,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45033.113989,11159,0.142624071961696,10.8907608208621,6.2874395211059,9.03178406154859,0.888000403192627,0.556710417180943,0.434037628569078,0.00973302065333662,1.995,10595,0.949457836723721
