Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Late-demographic dividend,LTE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.54,0.52,0.5,0.6125,0.725,0.8225,0.92,1.0025,1.085,1.1425,1.2,1.29,1.38,1.33,1.27,1.08,0.88,0.88
Lithuania,LTU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.66,0.68,0.69,0.86,1.03,1.06,1.08,1.11,1.13,1.36,1.59,1.71,1.83,1.70,1.57,1.37,1.16,1.16
Luxembourg,LUX,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.75,0.76,0.76,0.98,1.19,1.24,1.29,1.345,1.4,1.475,1.55,1.60,1.64,1.58,1.52,1.36,1.19,1.19
Latvia,LVA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.67,0.685,0.7,0.82,0.94,1.07,1.2,1.16,1.12,1.30,1.48,1.64,1.8,1.64,1.48,1.32,1.16,1.16
Morocco,MAR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.82,0.85,0.87,0.985,1.1,1.16,1.22,1.26,1.29,1.26,1.23,1.33,1.42,1.40,1.38,1.19,0.99,0.99
Madagascar,MDG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.92,1.08,1.07,1.05,1.10,1.15,1.35,1.55,1.54,1.52,1.51,1.49,1.42,1.35,1.23,1.11,1.11
Maldives,MDV,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,0.84,0.84,0.97,1.1,1.365,1.63,1.63,,0
Middle East & North Africa,MEA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.29,0.29,0.29,0.30,0.31,0.32,0.32,0.39,0.45,0.47,0.48,0.5025,0.525,0.6775,0.83,0.69,0.55,0.55
Mexico,MEX,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.61,0.62,0.62,0.61,0.59,0.67,0.74,0.74,0.74,0.78,0.81,0.84,0.86,0.95,1.03,0.88,0.73,0.73
Marshall Islands,MHL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,1.44,1.44,1.44,,0
Middle income,MIC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.53,0.52,0.61,0.7,0.78,0.86,0.91,0.96,1.03,1.09,1.19,1.29,1.25,1.21,1.06,0.91,0.91
North Macedonia,MKD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.81,0.85,1.01,1.17,1.20,1.23,1.19,1.15,1.34,1.52,1.64,1.75,1.62,1.49,1.30,1.11,1.11
Mali,MLI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.7,0.695,0.69,0.93,1.16,1.19,1.22,1.26,1.3,1.36,1.42,1.42,1.41,1.44,1.47,1.30,1.12,1.12
Malta,MLT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.81,0.84,0.87,1.03,1.18,1.28,1.38,1.52,1.66,1.65,1.63,1.78,1.92,1.86,1.8,1.58,1.36,1.36
Myanmar,MMR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.33,0.35,0.36,0.24,0.12,0.39,0.66,0.55,0.43,0.615,0.8,0.92,1.04,1.09,1.14,0.84,0.54,0.54
Middle East & North Africa (excluding high income),MNA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.44,0.37,0.29,0.38,0.46,0.53,0.6,0.605,0.61,0.78,0.94,0.90,0.86,0.8775,0.895,0.815,0.735,0.735
Montenegro,MNE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.65,0.74,0.97,1.2,1.355,1.51,1.39,1.27,1.45,1.62,1.72,1.82,1.71,1.6,1.38,1.16,1.16
Mongolia,MNG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.38,0.38,0.38,0.50,0.61,0.75,0.88,1.13,1.38,1.25,1.11,1.20,1.29,1.15,1.01,0.87,0.72,0.72
Northern Mariana Islands,MNP,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Mozambique,MOZ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.51,0.46,0.67,0.88,1.02,1.15,1.43,1.71,1.41,1.11,1.35,1.58,1.57,1.55,1.10,0.65,0.65
Mauritania,MRT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.67,0.65,0.63,0.715,0.8,0.885,0.97,1.23,1.49,1.33,1.16,1.30,1.43,1.48,1.53,1.33,1.13,1.13
Mauritius,MUS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,1.55,1.55,1.60,1.65,1.65,1.65,1.39,1.12,1.12
Malawi,MWI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.69,0.68,0.66,0.81,0.95,1.06,1.17,1.48,1.78,1.75,1.71,1.82,1.93,1.86,1.78,1.47,1.15,1.15
Malaysia,MYS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.28,0.32,0.35,0.36,0.37,0.45,0.53,0.53,0.53,0.56,0.59,0.61,0.62,0.65,0.68,0.57,0.45,0.45
North America,NAC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.525,0.490,0.455,0.5325,0.61,0.6725,0.735,0.6975,0.66,0.8225,0.985,1.065,1.145,1.055,0.965,0.8625,0.76,0.76
Namibia,NAM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.47,0.46,0.45,0.57,0.68,0.78,0.87,0.83,0.78,0.92,1.06,1.15,1.24,1.16,1.08,0.92,0.76,0.76
New Caledonia,NCL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Niger,NER,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.73,0.77,0.90,1.02,1.08,1.14,1.07,0.99,1.03,1.07,1.10,1.12,1.11,1.09,0.99,0.88,0.88
Nigeria,NGA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.27,0.235,0.2,0.295,0.39,0.45,0.51,0.55,0.59,0.52,0.44,0.53,0.62,0.59,0.56,0.51,0.46,0.46
Nicaragua,NIC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.58,0.54,0.62,0.69,0.68,0.67,0.77,0.87,0.98,1.09,1.16,1.23,1.21,1.18,1.05,0.91,0.91
Netherlands,NLD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.03,1.08,1.12,1.37,1.62,1.66,1.7,1.69,1.68,1.91,2.13,2.23,2.33,2.24,2.15,1.92,1.68,1.68
Norway,NOR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.19,1.21,1.23,1.42,1.61,1.705,1.8,1.715,1.63,1.88,2.12,2.33,2.53,2.40,2.27,2.03,1.78,1.78
Nepal,NPL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.63,0.65,0.66,0.69,0.72,0.83,0.94,1.04,1.13,1.16,1.18,1.31,1.44,1.38,1.31,1.11,0.91,0.91
Nauru,NRU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,1.6,1.6,1.6,,,,,,0
New Zealand,NZL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.48,0.52,0.55,0.66,0.77,0.88,0.98,1.04,1.09,1.28,1.47,1.62,1.77,1.74,1.71,1.555,1.4,1.4
OECD members,OED,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.77,0.8175,0.865,1.050,1.235,1.2675,1.3,1.335,1.37,1.52,1.67,1.7825,1.895,1.810,1.725,1.5225,1.32,1.32
Oman,OMN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.38,0.45,0.45
Other small states,OSS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.56,,0.76,0.76,0.83,0.89,0.90,0.91,1.08,1.24,1.27,1.3,1.335,1.37,1.20,1.02,1.02
Pakistan,PAK,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.53,0.52,0.57,0.62,0.82,1.01,0.93,0.84,0.85,0.86,1.00,1.14,1.04,0.94,0.87,0.79,0.79
Panama,PAN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.52,0.51,0.53,0.54,0.62,0.7,0.685,0.67,0.76,0.85,0.95,1.05,1.01,0.96,0.85,0.74,0.74
Peru,PER,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.8,0.77,0.74,0.93,1.12,1.17,1.22,1.32,1.42,1.42,1.41,1.52,1.63,1.55,1.46,1.23,0.99,0.99
Philippines,PHL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.37,0.36,0.35,0.44,0.52,0.64,0.76,0.84,0.91,0.98,1.05,1.15,1.25,1.15,1.05,0.96,0.86,0.86
Palau,PLW,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Papua New Guinea,PNG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.53,,0.94,0.94,0.94,,0.94,0.94,0.94,,,,1.36,1.36,1.36,,0
Poland,POL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.80,0.83,1.015,1.2,1.3,1.3,1.365,1.43,1.50,1.57,1.66,1.74,1.58,1.42,1.25,1.07,1.07
Pre-demographic dividend,PRE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.6725,0.665,0.7925,0.92,1.02,1.12,1.17,1.22,1.2475,1.275,1.3325,1.39,1.37,1.35,1.16,0.97,0.97
Puerto Rico,PRI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
"Korea, Dem. People's Rep.",PRK,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.55,0.55,0.67,0.78,0.75,0.71,0.74,0.76,0.76,,,,0.94,0.94,0.76,0.58,0.58
Portugal,PRT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.77,0.87,0.97,1.18,1.38,1.47,1.56,1.59,1.61,1.73,1.85,2.00,2.15,2.02,1.89,1.72,1.54,1.54
Paraguay,PRY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.72,0.64,0.56,0.59,0.62,0.80,0.97,1.07,1.17,1.23,1.28,1.51,1.74,1.67,1.59,1.32,1.04,1.04
West Bank and Gaza,PSE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.08,1.04,0.99,1.08,1.17,1.23,1.29,1.32,1.34,1.53,1.71,1.79,1.87,1.82,1.77,1.66,1.54,1.54
Pacific island small states,PSS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Post-demographic dividend,PST,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.795,0.8375,0.88,1.05,1.21,1.255,1.3,1.335,1.37,1.50,1.63,1.75,1.86,1.78,1.69,1.49,1.29,1.29
French Polynesia,PYF,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,1.49,1.49,1.54,1.58,1.64,1.7,1.7,,,,,,0
Qatar,QAT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,0.21,0.21,0.20,0.19,0.21,0.22,0.21,0.19,0.23,0.27,0.25,0.23,0.315,0.4,0.4
Romania,ROU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.46,0.55,0.64,0.80,0.96,1.11,1.26,1.19,1.11,1.29,1.46,1.58,1.7,1.645,1.59,1.38,1.16,1.16
Russian Federation,RUS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.33,0.34,0.35,0.45,0.55,0.66,0.77,0.83,0.89,0.87,0.84,0.92,0.99,0.90,0.81,0.70,0.59,0.59
Rwanda,RWA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.89,0.87,0.84,0.91,0.98,1.05,1.11,1.24,1.37,1.50,1.63,1.68,1.73,1.57,1.41,1.29,1.17,1.17
South Asia,SAS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.59,0.56,0.53,0.63,0.72,0.82,0.91,1.00,1.09,1.11,1.12,1.17,1.22,1.2025,1.185,1.0475,0.91,0.91
Saudi Arabia,SAU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.24,0.24,0.24,0.24,0.24,0.20,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.20,0.24,0.24
Sudan,SDN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.28,0.29,0.3,0.385,0.47,0.60,0.72,0.69,0.65,0.64,0.62,0.63,0.63,0.73,0.82,0.89,0.95,0.95
Senegal,SEN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.73,0.74,0.75,0.925,1.1,1.205,1.31,1.33,1.35,1.46,1.57,1.65,1.72,1.71,1.7,1.42,1.14,1.14
Singapore,SGP,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.84,0.85,0.85,0.87,0.89,0.91,0.92,1.00,1.07,1.25,1.42,1.55,1.68,1.63,1.58,1.42,1.25,1.25
Solomon Islands,SLB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Sierra Leone,SLE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,0.51,0.51,0.64,0.76,0.87,0.98,0.95,0.91,0.93,0.94,1.00,1.05,1.05,1.04,1.06,1.08,1.08
El Salvador,SLV,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.67,0.57,0.46,0.56,0.65,0.74,0.82,0.80,0.78,0.85,0.92,1.09,1.26,1.19,1.12,0.98,0.83,0.83
San Marino,SMR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Somalia,SOM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,0.35,0.35,0.86,1.36,1.05,0.74,0.93,1.12,1.12,,,,,,1.41,1.41,1.41
Serbia,SRB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.65,0.74,0.87,1,1.225,1.45,1.37,1.29,1.395,1.5,1.64,1.78,1.67,1.55,1.36,1.16,1.16
Sub-Saharan Africa (excluding high income),SSA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.615,0.6375,0.66,0.77,0.88,0.9575,1.035,1.0875,1.14,1.1925,1.245,1.300,1.355,1.3375,1.32,1.14,0.95,0.95
South Sudan,SSD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,1.76,1.76,1.68,1.59,1.545,1.5,1.735,1.97,1.98,1.98,1.13,0.28,0.28
Sub-Saharan Africa,SSF,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.615,0.6375,0.66,0.77,0.88,0.9575,1.035,1.0875,1.14,1.1925,1.245,1.300,1.355,1.3375,1.32,1.14,0.95,0.95
Small states,SST,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,0.745,0.745,0.745,,0.91,0.91,1.00,1.08,1.24,1.4,1.36,1.32,1.16,1,1
Sao Tome and Principe,STP,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Suriname,SUR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.56,0.56,0.53,0.5,0.72,0.94,0.93,0.91,1.03,1.14,1.36,1.57,1.43,1.29,1.29,,0
Slovak Republic,SVK,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.69,0.72,0.74,0.96,1.17,1.26,1.35,1.46,1.57,1.635,1.7,1.84,1.98,1.88,1.77,1.55,1.32,1.32
Slovenia,SVN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.63,0.70,0.76,0.94,1.12,1.18,1.23,1.21,1.18,1.43,1.67,1.77,1.86,1.82,1.78,1.55,1.32,1.32
Sweden,SWE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.94,1.00,1.06,1.29,1.51,1.49,1.46,1.42,1.38,1.63,1.87,1.985,2.1,1.96,1.82,1.62,1.42,1.42
Eswatini,SWZ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.47,0.47,,0.76,0.76,0.78,0.8,0.83,0.86,0.97,1.07,1.185,1.3,1.22,1.14,0.96,0.77,0.77
Sint Maarten (Dutch part),SXM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Seychelles,SYC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Syrian Arab Republic,SYR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.44,0.49,0.53,0.50,0.46,0.53,0.6,0.725,0.85,0.91,0.96,0.88,0.79,0.81,0.83,0.83,,0
Turks and Caicos Islands,TCA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Chad,TCD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.74,0.79,0.98,1.17,1.24,1.31,1.305,1.3,1.31,1.32,1.14,0.95,0.925,0.9,0.84,0.78,0.78
East Asia & Pacific (IDA & IBRD countries),TEA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,0.54,0.54,0.64,0.73,0.83,0.92,1.02,1.11,1.21,1.31,1.24,1.17,1.01,0.84,0.84
Europe & Central Asia (IDA & IBRD countries),TEC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.56,0.57,0.6975,0.825,0.915,1.005,1.0675,1.13,1.17,1.21,1.33,1.45,1.39,1.32,1.18,1.03,1.03
Togo,TGO,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.48,0.52,0.56,0.71,0.85,0.94,1.03,0.96,0.89,1.04,1.18,1.17,1.16,1.21,1.25,0.98,0.71,0.71
Thailand,THA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.39,0.38,0.36,0.45,0.54,0.62,0.7,0.785,0.87,1.14,1.41,1.49,1.56,1.43,1.29,1.00,0.71,0.71
Tajikistan,TJK,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.45,0.41,0.36,0.52,0.67,0.735,0.8,0.915,1.03,1.03,1.02,1.24,1.45,1.39,1.32,1.02,0.71,0.71
Turkmenistan,TKM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.26,0.29,0.29
Latin America & the Caribbean (IDA & IBRD countries),TLA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.58,0.54,0.6125,0.685,0.7875,0.89,0.8775,0.865,0.9475,1.03,1.15,1.27,1.23,1.19,1.0675,0.945,0.945
Timor-Leste,TLS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,0.65,0.65,0.82,0.98,1.10,1.22,1.31,1.4,1.525,1.65,1.41,1.17,1.135,1.1,1.1
Middle East & North Africa (IDA & IBRD countries),TMN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.355,0.305,0.255,0.3225,0.39,0.43,0.46,0.51,0.55,0.71,0.86,0.83,0.79,0.84,0.88,0.81,0.73,0.73
Tonga,TON,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
South Asia (IDA & IBRD),TSA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.59,0.56,0.53,0.63,0.72,0.82,0.91,1.00,1.09,1.11,1.12,1.17,1.22,1.2025,1.185,1.0475,0.91,0.91
Sub-Saharan Africa (IDA & IBRD countries),TSS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.615,0.6375,0.66,0.77,0.88,0.9575,1.035,1.0875,1.14,1.1925,1.245,1.300,1.355,1.3375,1.32,1.14,0.95,0.95
Trinidad and Tobago,TTO,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.39,0.395,0.4,0.375,0.35,0.39,0.43,0.40,0.36,0.36,,,,,,0.54,0.54,0.54
Tunisia,TUN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.49,0.39,0.29,0.49,0.68,0.76,0.83,0.90,0.96,0.95,0.94,0.94,0.93,0.92,0.91,0.82,0.73,0.73
Turkey,TUR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.88,0.95,1.02,1.23,1.44,1.66,1.88,1.88,1.87,2.20,2.52,2.53,2.54,2.30,2.06,1.74,1.42,1.42
Tuvalu,TUV,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Tanzania,TZA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.75,0.71,0.67,0.80,0.93,0.99,1.04,1.08,1.11,1.17,1.22,1.27,1.31,1.30,1.29,1.08,0.87,0.87
Uganda,UGA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.86,0.85,0.83,0.93,1.02,1.10,1.17,1.235,1.3,1.36,1.42,1.42,,1.4,1.4,1.17,0.94,0.94
Ukraine,UKR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.37,0.42,0.47,0.51,0.55,0.68,0.81,0.85,0.88,0.95,1.01,1.18,1.35,1.26,1.17,1.00,0.83,0.83
Upper middle income,UMC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.53,0.53,0.62,0.71,0.7875,0.865,0.9525,1.04,1.09,1.13,1.2575,1.385,1.3275,1.27,1.09,0.91,0.91
Uruguay,URY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.19,0.83,0.46,0.80,1.13,1.18,1.23,1.21,1.18,1.34,1.49,1.73,1.97,1.885,1.8,1.7,1.5,1.5
United States,USA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.47,0.435,0.4,0.47,0.54,0.59,0.63,0.60,0.56,0.66,0.76,0.87,0.97,0.87,0.76,0.74,0.71,0.71
Uzbekistan,UZB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.14,0.26,0.38,0.37,0.35,0.60,0.85,1.10,1.35,1.14,0.92,0.97,1.02,1.02,1.02,1.03,1.03,1.03
St. Vincent and the Grenadines,VCT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
"Venezuela, RB",VEN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.12,0.09,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.0215,0.023,0.023,0.023,0.019,0.015,0.00754,8E-05,8E-05
British Virgin Islands,VGB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Virgin Islands (U.S.),VIR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Vietnam,VNM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.38,0.36,0.34,0.41,0.48,0.58,0.67,0.735,0.8,0.84,0.88,1.02,1.15,1.10,1.04,0.92,0.8,0.8
Vanuatu,VUT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,1.31,1.31,1.31
World,WLD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.6,0.59,0.58,0.6925,0.805,0.8925,0.98,1.05,1.11,1.17,1.22,1.32,1.41,1.38,1.34,1.16,0.97,0.97
Samoa,WSM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,1.03,1.03,1.03,,,,0.91,0.91,0.91
Kosovo,XKX,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.65,0.74,0.95,1.16,1.19,1.22,1.16,1.1,1.365,1.63,1.64,1.65,1.60,1.54,1.33,1.11,1.11
"Yemen, Rep.",YEM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.21,0.21,0.21,0.20,0.19,0.245,0.3,0.3,0.3,0.325,0.35,0.47,0.58,0.64,0.7,0.81,0.92,0.92
South Africa,ZAF,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.5,0.465,0.43,0.62,0.81,0.83,0.85,0.86,0.87,1.03,1.19,1.29,1.38,1.29,1.19,1.06,0.92,0.92
Zambia,ZMB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,0.72,0.72,0.91,1.1,1.205,1.31,1.505,1.7,1.68,1.66,1.57,1.48,1.58,1.68,1.54,1.4,1.4
Zimbabwe,ZWE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.85,0.45,0.05,0.33,0.61,0.61,,1.3,1.3,1.295,1.29,1.41,1.52,1.54,1.56,1.45,1.34,1.34
